State,Population,Votes,popmills
Alaska,710000,3,0.71
Alabama,4780000,9,4.78
Arkansas,2916000,6,2.916
Arizona,6392000,11,6.392
California,37254000,55,37.254
Colorado,5029000,9,5.029
Connecticut,3574000,7,3.574
District of Columbia,602000,3,0.602
Delaware,898000,3,0.898
Florida,18801000,29,18.801
Georgia,9688000,16,9.688
Hawaii,1360000,4,1.36
Iowa,3046000,6,3.046
Idaho,1568000,4,1.568
Illinois,12831000,20,12.831
Indiana,6484000,11,6.484
Kansas,2853000,6,2.853
Kentucky,4339000,8,4.339
Louisiana,4533000,8,4.533
Massachusetts,6548000,11,6.548
Maryland,5774000,10,5.774
Maine,1328000,4,1.328
Michigan,9884000,16,9.884
Minnesota,5304000,10,5.304
Missouri,5989000,10,5.989
Mississippi,2967000,6,2.967
Montana,989000,3,0.989
North Carolina,9535000,15,9.535
North Dakota,673000,3,0.673
Nebraska,1826000,5,1.826
New Hampshire,1316000,4,1.316
New Jersey,8792000,14,8.792
New Mexico,2059000,5,2.059
Nevada,2701000,6,2.701
New York,19378000,29,19.378
Ohio,11537000,18,11.537
Oklahoma,3751000,7,3.751
Oregon,3831000,7,3.831
Pennsylvania,12702000,20,12.702
Rhode Island,1053000,4,1.053
South Carolina,4625000,9,4.625
South Dakota,814000,3,0.814
Tennessee,6346000,11,6.346
Texas,25146000,38,25.146
Utah,2764000,6,2.764
Virginia,8001000,13,8.001
Vermont,626000,3,0.626
Washington,6725000,12,6.725
Wisconsin,5687000,10,5.687
West Virginia,1853000,5,1.853
Wyoming,564000,3,0.564
